,PREDICTION TIME,BINARY F1-SCORE,BINARY ACCURACY,Binary_malicious_precision,Binary_malicious_recall,Binary_malicious_f1-score,Binary_malicious_support,Binary_normal_precision,Binary_normal_recall,Binary_normal_f1-score,Binary_normal_support,Binary_macro avg_precision,Binary_macro avg_recall,Binary_macro avg_f1-score,Binary_macro avg_support,Binary_weighted avg_precision,Binary_weighted avg_recall,Binary_weighted avg_f1-score,Binary_weighted avg_support
Best kNN ,316.5560994148,0.807686,0.822644,0.984300,0.542038,0.699096,29378.000000,0.779850,0.994699,0.874269,47913.000000,0.882075,0.768368,0.786682,77291.000000,0.857561,0.822644,0.807686,77291.000000
Best MLP ,0.5849130154,0.933143,0.934352,0.986080,0.839131,0.906690,29378.000000,0.909621,0.992737,0.949363,47913.000000,0.947851,0.915934,0.928027,77291.000000,0.938683,0.934352,0.933143,77291.000000
Best Decision_Tree ,0.0254700184,0.732599,0.761421,0.922121,0.406665,0.564416,29378.000000,0.729059,0.978941,0.835721,47913.000000,0.825590,0.692803,0.700069,77291.000000,0.802441,0.761421,0.732599,77291.000000
Best SGD_Classifier ,0.0125958920,0.906502,0.908929,0.975156,0.780278,0.866900,29378.000000,0.879983,0.987811,0.930785,47913.000000,0.927570,0.884045,0.898842,77291.000000,0.916158,0.908929,0.906502,77291.000000
Best Random_Forest ,0.6271793842,0.912101,0.914583,0.992902,0.780856,0.874204,29378.000000,0.881189,0.996577,0.935338,47913.000000,0.937045,0.888717,0.904771,77291.000000,0.923651,0.914583,0.912101,77291.000000
Best Naive-Bayes ,0.0823338032,0.905830,0.907635,0.948674,0.800293,0.868189,29378.000000,0.888265,0.973452,0.928909,47913.000000,0.918470,0.886872,0.898549,77291.000000,0.911226,0.907635,0.905830,77291.000000
